player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
687401,"Ortiz, Joey",87.3,7.3,3.3,0.231,0.297
682177,"Schneemann, Daniel",87.8,11.3,6.5,0.235,0.303
681393,"Norby, Connor",87.1,19.4,8.2,0.185,0.29
669065,"Stowers, Kyle",90.4,14.5,8.2,0.226,0.31
671732,"Butler, Lawrence",89.6,5.4,5.7,0.243,0.304
687363,"Scott II, Victor",86.7,7.2,0.8,0.221,0.273
808959,"Murakami, Munetaka",94.2,14.5,20.7,0.221,0.38
700932,"Manzardo, Kyle",89.3,17.4,11.7,0.229,0.317
687093,"Grissom, Vaughn",90.9,13.9,7.5,0.265,0.35
663886,"Stephenson, Tyler",90.5,21.8,10.8,0.222,0.321
543877,"Vázquez, Christian",85.6,13.7,1.7,0.199,0.238
657656,"Laureano, Ramón",88.0,12.1,14.3,0.222,0.312
694208,"Ballesteros, Moisés",90.0,10.9,9.2,0.24,0.31
671218,"Ramos, Heliot",92.0,7.9,13.4,0.27,0.326
670770,"Friedl, TJ",88.2,17.0,2.5,0.196,0.25
691723,"Mayo, Coby",91.4,18.4,10.3,0.217,0.294
810938,"Williamson, Ben",88.5,4.0,1.7,0.256,0.307
683953,"Bazzana, Travis",88.5,11.8,3.4,0.236,0.304
667670,"Rooker, Brent",89.9,19.7,15.4,0.207,0.315
663968,"Mangum, Jake",83.9,4.0,0.9,0.26,0.286
807799,"Yoshida, Masataka",88.9,9.0,1.7,0.254,0.314
677942,"Alexander, Blaze",92.6,9.6,6.0,0.309,0.354
678391,"Vivas, Jorbit",83.4,13.9,3.5,0.246,0.294
666397,"Julien, Edouard",91.5,8.8,7.0,0.257,0.339
641857,"McMahon, Ryan",90.6,12.4,10.5,0.222,0.294
665161,"Peña, Jeremy",85.9,14.3,4.4,0.304,0.358
691781,"House, Brady",89.0,5.5,10.5,0.251,0.32
694192,"Chourio, Jackson",92.4,12.2,15.9,0.269,0.36
670764,"Walls, Taylor",83.1,21.2,2.7,0.174,0.247
669003,"Mitchell, Garrett",92.3,4.5,14.3,0.237,0.336
663993,"Lowe, Nathaniel",89.2,14.0,12.5,0.274,0.376
666160,"Moniak, Mickey",89.7,25.3,13.5,0.228,0.324
656716,"McKinstry, Zach",84.8,14.0,2.7,0.199,0.259
687551,"Gilbert, Drew",85.4,15.1,2.7,0.222,0.273
596115,"Story, Trevor",88.9,12.9,3.6,0.212,0.248
694728,"Matthews, Brice",88.4,11.2,10.0,0.204,0.281
681351,"O'Hoppe, Logan",87.0,16.9,12.0,0.198,0.283
680700,"Palacios, Richie",87.2,11.8,2.8,0.232,0.301
592885,"Yelich, Christian",88.3,3.1,5.7,0.226,0.292
663728,"Raleigh, Cal",87.5,23.1,12.3,0.18,0.289
656555,"Hoskins, Rhys",88.6,23.2,11.4,0.178,0.302
553993,"Suárez, Eugenio",86.5,19.0,7.6,0.21,0.275
681297,"Cowser, Colton",86.5,11.8,12.7,0.213,0.324
680777,"Jeffers, Ryan",91.2,21.0,15.8,0.261,0.389
700337,"Quero, Edgar",90.6,9.9,2.0,0.196,0.252
669224,"Wells, Austin",89.3,18.6,6.9,0.213,0.301
663647,"Hayes, Ke'Bryan",90.5,15.8,9.0,0.259,0.312
690976,"Freeland, Alex",89.6,10.1,7.0,0.222,0.298
657041,"Thomas, Lane",86.9,24.6,4.0,0.22,0.312
