player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
621381,"Strahm, Matt",90.2,23.2,9.0,0.222,0.306
548384,"Raley, Brooks",87.2,18.6,7.5,0.217,0.299
681217,"Silseth, Chase",87.2,11.5,9.0,0.211,0.305
683618,"Henriquez, Edgardo",83.5,12.2,3.0,0.198,0.262
695611,"Jump, Gage",87.7,16.0,3.0,0.247,0.285
670329,"Garcia, Rico",86.2,17.9,9.0,0.195,0.267
670950,"Richards, Trevor",89.7,27.0,4.5,0.227,0.288
674841,"Alvarez, Andrew",90.7,9.2,7.6,0.273,0.339
666661,"Morillo, Juan",87.5,9.1,6.1,0.172,0.244
666974,"Cano, Yennier",89.0,0.5,9.1,0.221,0.28
668390,"Winn, Cole",89.9,13.8,4.7,0.269,0.333
676755,"Mattson, Isaac",90.5,20.8,10.9,0.292,0.377
669020,"Rolison, Ryan",90.3,9.1,6.3,0.231,0.309
572955,"Johnson, Pierce",90.3,18.0,14.1,0.291,0.381
657756,"Seabold, Connor",86.7,12.5,4.7,0.244,0.28
683769,"Gaddis, Hunter",87.1,20.2,6.3,0.27,0.313
571510,"Boyd, Matthew",89.2,11.7,9.5,0.258,0.322
701719,"Samaniego, Tyler",90.0,12.3,3.2,0.267,0.331
543037,"Cole, Gerrit",88.1,22.8,4.8,0.209,0.265
656730,"Megill, Trevor",91.0,15.9,4.8,0.197,0.252
595014,"Treinen, Blake",88.2,10.2,12.7,0.266,0.357
622554,"Domínguez, Seranthony",90.7,16.7,9.5,0.239,0.35
623149,"Sewald, Paul",89.5,34.2,8.1,0.157,0.25
700249,"Povich, Cade",91.3,17.1,9.7,0.272,0.353
608337,"Giolito, Lucas",88.6,22.5,3.2,0.234,0.346
661563,"Gil, Luis",93.2,14.6,9.7,0.262,0.385
662253,"Muñoz, Andrés",89.2,11.3,11.5,0.249,0.333
667297,"Nance, Tommy",87.8,7.3,4.9,0.252,0.311
472610,"García, Luis",88.4,17.6,4.9,0.329,0.398
668933,"Ashcraft, Graham",88.9,12.9,6.6,0.197,0.287
669920,"Alexander, Jason",87.1,12.9,9.8,0.258,0.333
656234,"Bird, Jake",89.9,9.1,8.3,0.24,0.32
680767,"Vodnik, Victor",89.0,11.0,8.3,0.243,0.331
677053,"Nardi, Andrew",89.6,12.4,13.3,0.241,0.349
673540,"Senga, Kodai",89.1,19.1,10.0,0.247,0.339
670059,"Holderman, Colin",87.6,13.5,11.7,0.197,0.27
676684,"Vest, Will",89.1,2.5,6.8,0.227,0.299
699823,"Davis, Tyler",90.8,15.9,3.4,0.219,0.27
669212,"Morgan, Eli",89.0,19.4,5.1,0.329,0.4
675989,"Bolton, Cody",90.7,15.4,10.3,0.276,0.38
680742,"Bowlan, Jonathan",86.9,12.7,3.4,0.212,0.252
681799,"Roberts, Ethan",91.3,11.3,1.7,0.252,0.322
664991,"Wolfram, Grant",89.4,9.0,5.2,0.258,0.286
685801,"Bigge, Hunter",89.6,18.8,5.3,0.23,0.312
690953,"Abel, Mick",87.7,14.6,5.3,0.274,0.35
683232,"Mears, Nick",90.3,14.5,12.3,0.298,0.382
628452,"Iglesias, Raisel",87.2,23.4,5.3,0.202,0.239
695380,"Hoppe, Alex",88.4,5.9,3.5,0.253,0.299
